millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
78103,173,187,141,249,257,-4.24,-5.26,8.71
78203,174,190,142,249,258,-4.35,-5.14,8.59
78303,174,192,142,248,257,-4.16,-5.22,8.55
78403,176,189,141,248,255,-4.28,-5.1,8.51
78503,173,185,141,249,260,-4.24,-5.22,8.63
78603,174,188,141,249,259,-4.24,-5.26,8.75
78703,173,191,142,247,256,-4.2,-5.1,8.51
78803,171,191,141,248,258,-4.39,-5.18,8.55
78903,171,189,139,249,256,-4.31,-5.14,8.63
79003,170,188,140,248,257,-4.28,-5.26,8.63
79104,169,187,139,246,255,-4.16,-5.3,8.51
79203,170,187,140,249,256,-4.39,-5.22,8.55
79303,169,186,140,245,256,-4.28,-5.22,8.55
79404,168,187,140,247,255,-3.96,-5.18,8.51
79503,170,187,140,247,255,-4.2,-5.18,8.55
79603,170,182,139,246,256,-4.35,-5.33,8.51
79803,169,187,139,247,256,-4.12,-5.18,8.71
79903,169,187,138,247,256,-4.16,-5.26,8.55
80003,170,186,140,247,256,-3.96,-5.26,8.71
80103,170,188,140,247,256,-4.31,-5.1,8.43
80203,169,189,139,248,256,-4.28,-5.1,8.83
80303,170,186,140,247,256,-4.16,-5.14,8.67
80403,169,189,138,245,256,-4.24,-5.26,8.67
80503,169,189,141,247,256,-4.12,-5.33,8.79
80603,171,186,142,249,256,-4.2,-5.22,8.51
80703,178,195,147,258,267,-4.08,-5.26,8.43
80803,177,196,146,257,267,-4.12,-5.1,8.87
80903,169,188,139,246,256,-4.24,-5.1,8.36
81003,170,187,140,247,256,-4.12,-5.22,8.63
81103,170,187,140,247,255,-4.12,-5.18,8.51
81203,171,188,140,248,255,-4.08,-5.14,8.67
81303,170,188,140,247,256,-4.2,-5.3,8.71
81403,172,189,141,248,257,-4.35,-5.22,8.63
81503,171,190,142,248,257,-4.35,-5.3,8.63
81603,170,190,141,249,257,-4.2,-5.18,8.59
81703,173,187,141,248,256,-4.16,-5.22,8.51
81803,171,189,141,249,257,-4.16,-5.22,8.47
81903,170,188,141,248,256,-4.16,-5.22,8.47
82003,172,192,139,248,257,-3.96,-5.18,8.63
82103,172,189,140,248,257,-4.04,-5.26,8.55
82203,173,191,140,248,257,-4.12,-5.26,8.63
82304,170,186,139,248,257,-4.04,-5.14,8.63
82403,171,188,139,247,254,-4.24,-5.18,8.36
82503,170,188,141,246,255,-4.2,-5.14,8.67
82604,169,188,139,247,255,-4.24,-5.22,8.51
82703,168,187,139,249,256,-4.16,-5.18,8.75
82803,170,187,134,247,255,-4.24,-5.26,8.39
83003,168,187,140,246,255,-4,-5.33,8.83
83103,168,186,140,246,255,-4.16,-5.22,8.63
83203,163,187,139,247,255,-4.24,-5.14,8.59
83303,168,187,139,246,255,-4,-5.3,8.47
83403,168,186,139,246,255,-4.2,-5.22,8.87
83503,169,187,140,247,255,-4.39,-5.18,8.55
83603,169,187,140,246,256,-4.2,-5.3,8.32
83703,169,187,140,247,256,-3.96,-5.14,8.67
83803,169,187,139,247,255,-4.31,-5.18,8.59
83903,173,194,143,253,264,-4.24,-5.26,8.79
84003,176,193,144,254,264,-4.16,-5.14,8.67
84103,174,191,147,254,263,-4.12,-5.22,8.83
84203,178,194,143,255,263,-4.16,-5.22,8.63
84303,176,195,145,256,264,-4.28,-5.18,8.75
84403,175,194,144,255,264,-4.39,-5.1,8.63
84503,180,199,148,260,270,-4.04,-5.37,8.67
84603,180,198,146,262,271,-4.04,-5.18,8.51
84703,180,198,148,262,270,-4.12,-5.22,8.39
84803,180,199,146,261,271,-4,-5.22,8.63
84903,181,199,150,263,271,-4.04,-5.26,8.55
85003,180,199,150,262,272,-4.24,-5.3,8.79
85103,182,202,151,262,272,-4.39,-5.1,8.39
85203,182,200,150,262,272,-4.16,-5.22,8.63
85303,184,201,149,260,272,-4.28,-5.22,8.71
85403,183,201,150,263,272,-4.16,-5.22,8.47
85504,182,201,149,265,272,-3.88,-5.26,8.63
85603,180,200,150,263,272,-4.24,-5.26,8.47
85703,184,200,149,262,273,-4.04,-5.22,8.71
85804,184,200,148,264,272,-4.12,-5.18,8.59
85903,181,200,148,263,273,-4.28,-5.22,8.63
86003,184,197,149,262,271,-3.96,-5.3,8.43
86203,181,199,149,255,271,-4.24,-5.18,8.63
86303,180,199,148,260,271,-4.16,-5.26,8.59
86403,177,199,148,250,271,-4.08,-5.22,8.51
86503,180,198,148,261,270,-4.08,-5.26,8.47
86603,178,199,148,261,271,-4.28,-5.14,8.67
86703,180,197,148,261,263,-4.31,-5.18,8.67
86803,179,198,148,261,270,-4.12,-5.26,8.71
86903,179,199,148,262,271,-4.08,-5.22,8.79
87003,179,198,148,261,270,-4.2,-5.3,8.63
87103,178,199,148,262,270,-4.2,-5.37,8.55
87203,179,198,148,260,270,-4.04,-5.26,8.39
87303,178,199,148,260,270,-3.92,-5.26,8.43
87403,179,198,148,260,270,-4.55,-5.3,8.55
87503,179,199,148,259,269,-4.31,-5.3,8.87
87603,178,197,149,262,272,-4.24,-5.1,8.63
87703,181,198,148,261,270,-4.31,-5.18,8.67
87803,179,195,149,262,272,-4.16,-5.33,8.67
87903,180,195,149,261,270,-4.39,-5.14,8.71
88003,180,199,149,262,270,-4.16,-5.3,8.75
88103,181,200,148,262,270,-4.12,-5.26,8.55
88203,180,198,148,261,271,-4.2,-5.22,8.87
88303,179,199,149,260,270,-4.24,-5.3,8.43
88403,180,199,149,261,272,-4.08,-5.37,8.55
88503,179,199,148,261,270,-4.16,-5.33,8.47
88603,180,199,149,261,270,-4.12,-5.26,8.79
88704,181,200,148,262,274,-4.35,-5.22,8.39
88803,183,200,150,263,272,-4.43,-5.14,8.67
88903,183,201,150,263,271,-4.12,-5.18,8.59
89004,183,201,149,264,274,-4.2,-5.3,8.59
89103,183,201,148,263,271,-4.2,-5.26,8.63
89203,183,197,150,262,273,-4.16,-5.26,8.55
89403,182,200,149,262,271,-4.16,-5.22,8.43
89503,180,201,150,262,271,-4.35,-5.33,8.63
89603,182,201,149,261,270,-4.16,-5.3,8.67
89703,183,200,151,261,270,-4.24,-5.22,8.59
89803,181,198,149,260,271,-4.35,-5.26,8.87
89903,182,199,148,262,276,-4.08,-5.37,8.55
90003,178,200,148,261,270,-4.12,-5.26,8.67
90103,179,198,148,261,270,-4.04,-5.22,8.39
90203,179,194,148,261,270,-4.04,-5.26,8.94
90303,179,199,146,261,271,-4.16,-5.3,9.02
90403,175,198,148,261,271,-4.2,-5.22,8.36
90503,170,198,148,261,270,-4.08,-5.22,8.36
90603,178,197,148,257,270,-4.16,-5.26,8.79
90703,178,197,147,260,269,-4.12,-5.33,8.67
90803,178,198,148,260,270,-3.84,-5.1,8.59
90903,179,198,147,261,270,-4.59,-5.37,9.02
91003,178,197,147,261,269,-4.47,-5.1,8.39
91103,180,198,148,261,270,-3.84,-5.06,8.83
91203,180,199,148,261,269,-4.04,-5.22,8.59
91303,180,200,148,260,270,-3.8,-5.33,8.83
91403,180,199,149,263,269,-3.84,-5.3,8.71
91503,180,198,149,259,271,-3.92,-5.18,8.63
91603,181,199,149,261,271,-3.84,-5.3,8.71
91703,180,199,149,262,271,-3.53,-5.49,8.94
91803,180,198,149,262,270,-3.84,-5.45,8.9
91904,181,199,147,263,270,-3.88,-5.26,8.75
92003,180,199,148,262,271,-3.73,-5.49,8.83
92103,180,198,149,262,271,-3.84,-5.61,8.59
92204,180,199,148,262,270,-4.12,-5.45,8.83
92303,178,197,147,261,269,-3.77,-5.57,8.32
92403,181,199,148,262,267,-3.92,-5.33,8.32
92603,178,196,146,256,267,-4.47,-5.41,8.59
92703,173,191,142,249,257,-4.31,-5.3,8.28
92803,172,186,139,244,252,-4.75,-5.26,8.32
